"","Title","First.Author.First.Name","First.Author.Surname","Corresponding.Author.First.Name","Corresponding.Author.Surname","Corresponding.Author.Order","Publication.Name","Alternate.Name","Abstract","Url","Author.Address","Year","DOI","Reference.Type","PDF.Relative.Path","Keywords","DecisionD20B5387.E6A8.4722.8A03.956452790272","Decision5DFF96A2.71AF.48E1.A92A.EB6AEFBF7BAE"
"1","Effects of N-acetylcysteine amide (NACA), a novel thiol antioxidant against glutamate-induced cytotoxicity in neuronal cell line PC12",NA,NA,NA,NA,NA,"Effects of N-acetylcysteine amide (NACA), a novel thiol antioxidant against glutamate-induced cytotoxicity in neuronal cell line PC12","Brain Research","Oxidative stress plays an important role in neuronal cell death associated with many different neurodegenerative conditions such as cerebral ischemia and Parkinson's disease. Elevated levels of glutamate are thought to be responsible for CNS disorders through various mechanisms causing oxidative stress induced by a nonreceptor-mediated oxidative pathway which blocks cystine uptake and results in depletion of intracellular glutathione (GSH). The newly designed amide form of N-acetylcysteine (NAC), N-acetylcysteine amide (NACA), was assessed for its ability to protect PC12 cells against oxidative toxicity induced by glutamate. NACA was shown to protect PC12 cells from glutamate (Glu) toxicity, as evaluated by LDH and MTS assays. NACA prevented glutamate-induced intracellular GSH loss. In addition, NACA restored GSH synthesis in a Glu (10 mM) plus buthionine-sulfoximine (BSO) (0.2 mM)-treated group, indicating that the intracellular GSH increase is independent of gamma-GSC (gamma-glutamylcysteinyl synthetase). The increase in levels of reactive oxygen species (ROS) induced by glutamate was significantly decreased by NACA. Measurement of malondialdehyde (MDA) showed that NACA reduced glutamate-induced elevations in levels of lipid peroxidation by-products. These results demonstrate that NACA can protect PC12 cells against glutamate cytotoxicity by inhibiting lipid peroxidation, and scavenging ROS, thus preserving intracellular GSH. © 2005 Elsevier B.V. All rights reserved.",NA,NA,2005,"http://dx.doi.org/10.1016/j.brainres.2005.07.032",NA,NA,"000bc285-546b-4346-acc3-0508a8b047f0",1,1
"2","Neuroprotective effect of Curcumin involved in increasing the protein levels of UCP2 and inhibiting oxidative stress induced by chronic cerebral ischemia in vitro",NA,NA,NA,NA,NA,"Neuroprotective effect of Curcumin involved in increasing the protein levels of UCP2 and inhibiting oxidative stress induced by chronic cerebral ischemia in vitro","Molecular Neurodegeneration. Conference","Background: Chronic cerebral ischemia is caused by the long-term cerebral hypoperfusion, it is a common pathological process that usually occurs in conditions such as Alzheimer's disease and vascular dementia. Oxidative stress plays an important role in nerve cell damage, UCP2 (The uncoupling protein 2) is one member of UCPs, which are a family of mitochondrial anion-carrier proteins and plays an important role in inhibiting oxidative stress. This study aims to observe the antioxidation of Curcumin on chronic cerebral ischemia established by PC12 ischemic cell models and investigate the changes of UCP2 during chronic ischemic PC12 cell. Method: The PC12 ischemic cells were cultured in medium contain sodium hyposulfite (the final concentration was 1M). Cells were maintained at 37degreeC in an incubator containing 5% CO<inf>2</inf>, and changed to normal medium after24h-48h, then treated with different concentrations of Curcumin ( 0, 1.25, 5.0, 20 mumol/L) for 24h. The fluorescent probe DCFH-DA and fluorescent spectrophotometer were performed to detect the levels of the active oxygen, to observe the protective effect of Curcumin on PC12 cells. The expressions of UCP2 protein were detected by immunohistochemistry. Results: In vitro the levels of the active oxygen decreased in chronic ischemic PC12 cells after treated with Curcumin, and the changes were in a dose-dependent manner (p<0.05). The expression of UCP2 protein significantly increased after treated with Curcumin, and the changes were also in a dose-dependent manner (p<0.05). Conclusion: Our data demonstrated the obvious neuroprotective effect of Curcumin involved in increasing the protein levels of UCP2 and inhibiting oxidative stress induced by chronic cerebral ischemia in vitro. Further studies are needed to firmly establish this protective effect.",NA,NA,2011,"",NA,NA,"0021016e-3535-402f-9720-76fb628815a2",1,1
"3","Effect of hesperetin against oxidative stress via ER-and TrkA-mediated actions in PC12 cells",NA,NA,NA,NA,NA,"Effect of hesperetin against oxidative stress via ER-and TrkA-mediated actions in PC12 cells","Journal of agricultural and food chemistry","Hesperetin is known to activate estrogen receptors (ERs). Estrogen-mediated neuroprotection could be via both ER and tyrosine kinase receptor (Trk) signaling. This study tested whether hesperetin protected PC12 cells from hydrogen peroxide induced oxidative damage via ER-and/or TrkA-mediated actions. Hesperetin (0.1, 1, and 50 muM) inhibited cell viability decreases and reactive oxygen species, intracellular calcium level, and caspase-3 activity increases in H<inf>2</inf>O<inf>2</inf>-induced PC12 cells. Such actions were significantly (p < 0.05) suppressed by ICI 182,780 (an ER antagonist) or K252a (a TrkA antagonist) at low concentrations (0.1 or 1 muM) only. Hesperetin also stimulated the activation of Akt, ERK, and CREB as well as induced brain-derived neurotrophic factor, PPARgamma coactivator 1alpha (PGC-1alpha), and seladin-1 (selective Alzheimer's disease indicator-1) via both ER and TrkA in the cells. This study demonstrates that the neuroprotective effects of hesperetin, at low concentrations, are attributed to its stimulation on receptor signaling. Moreover, ER and TrkA are known to be expressed in most Alzheimer's disease (AD) vulnerable brain regions. This study thus suggests that hesperetin might have potential for intervention in neurodegenerative disorders, particularly for AD. © 2011 American Chemical Society.",NA,NA,2011,"http://dx.doi.org/10.1021/jf104632a",NA,NA,"00986b17-13ca-450c-82bf-89cd85227db5",1,1
"4","Quercetin and sesamin protect neuronal PC12 cells from high-glucose-induced oxidation, nitrosative stress, and apoptosis",NA,NA,NA,NA,NA,"Quercetin and sesamin protect neuronal PC12 cells from high-glucose-induced oxidation, nitrosative stress, and apoptosis","Rejuvenation Research","Complications of diabetes are now well-known to affect sensory, motor, and autonomic nerves. Diabetes is also thought to be involved in neurodegenerative processes characteristic of several neurodegenerative diseases. Indeed, it has been acknowledged recently that hyperglycemia-induced oxidative stress contributes to numerous cellular reactions typical of central nervous system deterioration. The goal of the present study was to evaluate the effects of the polyphenol quercetin and the lignan sesamin on high-glucose (HG)-induced oxidative damage in an in vitro model of dopaminergic neurons, neuronal PC12 cells. When incubated with HG (13.5mg/mL), neuronal PC12 cells showed a significant increase of cellular death. Our results revealed that quercetin and sesamin defend neuronal PC12 cells from HG-induced cellular demise. An elevated level of reactive oxygen and nitrogen species is a consequence of improved oxidative stress after HG administration, and we demonstrated that this production diminishes with quercetin and sesamin treatment. We also found that quercetin and sesamin elicited an increment of superoxide dismutase activity. DNA fragmentation, Bax/Bcl-2 ratio, nuclear translocation of apoptosis-inducing factor, as well as poly(adenosine diphosphate [ADP]-ribose) polymerase cleavage were significantly reduced by quercetin and sesamin administration, affirming their antiapoptotic features. Also, HG treatment impacted caspase-3 cleavage, supporting caspase-3-dependent pathways as mechanisms of apoptotic death. Our results indicate a powerful role for these natural dietary compounds and emphasize preventive or complementary nutritional strategies for diabetes control. © 2012 Mary Ann Liebert, Inc.",NA,NA,2012,"http://dx.doi.org/10.1089/rej.2011.1242",NA,NA,"00e39971-596f-47bf-8968-311e31a88a96",1,1
"5","MicroRNA-210 knockdown contributes to apoptosis caused by oxygen glucose deprivation in PC12 cells",NA,NA,NA,NA,NA,"MicroRNA-210 knockdown contributes to apoptosis caused by oxygen glucose deprivation in PC12 cells","","It was previously demonstrated that microRNA-210 (miR-210) exhibited neuroprotective effects in a murine model of hypoxic-ischemic encephalopathy via inhibition of apoptosis. The aim of the present study was to further elucidate the effect of miR-210 on apoptosis in PC12 cells following transfection with miR-210 inhibitors and exposure to oxygen glucose deprivation (OGD). The expression levels of miR-210 were identified using reverse transcription-quantitative polymerase chain reaction analysis. Apoptosis was investigated using Annexin V-fluorescein isothiocyanate assays. Apoptosis-related protein expression levels were studied with western blot analysis. The results showed that the expression levels of miR-210 were upregulated in PC12 cells following a 4-h exposure to OGD, relative to those in normoxic control cells. miR-210 knockdown increased cell apoptosis by inducing caspase activity and regulating the balance between Bcl-2 and Bax levels. The present study demonstrated that miR-210 knockdown induced cell apoptosis using an ex vivo model of ischemic hypoxia (IH). Knockdown of miR-210 represents a potential novel therapeutic approach to combat neonatal IH.",NA,NA,2015,"10.3892/mmr.2014.2651",NA,NA,"00f1d9f5-e1fc-4c45-8c89-55d39ceb61ae",1,1
"6","Synthesis of alpha, beta-unsaturated carbonyl based compounds as acetylcholinesterase and butyrylcholinesterase inhibitors: Characterization, molecular modeling, QSAR studies and effect against amyloid beta-induced cytotoxicity",NA,NA,NA,NA,NA,"Synthesis of alpha, beta-unsaturated carbonyl based compounds as acetylcholinesterase and butyrylcholinesterase inhibitors: Characterization, molecular modeling, QSAR studies and effect against amyloid beta-induced cytotoxicity","European Journal of Medicinal Chemistry","A series of novel carbonyl compounds was synthesized by a simple, eco-friendly and efficient method. These compounds were screened for anti-oxidant activity, in vitro cytotoxicity and for inhibitory activity for acetylcholinesterase and butyrylcholinesterase. The effect of these compounds against amyloid betainduced cytotoxicity was also investigated. Among them, compound 14 exhibited strong free radical scavenging activity (18.39 muM) while six compounds (1, 3, 4, 13, 14, and 19) were found to be the most protective against Abeta-induced neuronal cell death in PC12 cells. Compounds 4 and 14, containing N-methyl-4-piperidone linker, showed high acetylcholinesterase inhibitory activity as compared to reference drug donepezil. Molecular docking and QSAR (Quantitative StructureeActivity Relationship) studies were also carried out to determine the structural features that are responsible for the acetylcholinesterase and butyrylcholinesterase inhibitory activity. Copyright © 2014 Elsevier Masson SAS. All rights reserved.",NA,NA,2015,"http://dx.doi.org/10.1016/j.ejmech.2014.06.034",NA,NA,"01112f0e-a3d0-4724-aa8b-2ba2f0277b65",1,1
"7","Protective effects of 2',4'-dihydroxy-6'-methoxy- 3',5'-dimethylchalcone to PC12 cells against cytotoxicity induced by hydrogen peroxide",NA,NA,NA,NA,NA,"Protective effects of 2',4'-dihydroxy-6'-methoxy- 3',5'-dimethylchalcone to PC12 cells against cytotoxicity induced by hydrogen peroxide","Journal of agricultural and food chemistry","Oxidative stress has been considered as a major cause of cellular injuries in various clinical abnormalities. One of the possible ways to prevent reactive oxygen species (ROS)-mediated cellular injury is dietary or pharmaceutical therapies to augment the endogenous antioxidant defense capacity. The present study found that 2',4'-dihydroxy-6'-methoxy-3',5'- dimethylchalcone (DMC), a chalcone isolated from the buds of Cleistocalyx operculatus, possessed cytoprotective activity in PC12 cells treated with H <inf>2</inf>O<inf>2</inf>. The results showed that DMC could effectively increase cell viability [3-(4,5-dimethylthiazol-2-yl)-2,5- diphenyltetrazoliumbromide (MTT) reduction], decrease the cell apoptotic percentage [annexin V/propidium iodide (AV/PI) assay], prevent the membrane from damage [lactate dehydrogenase (LDH) release], scavenge ROS formation, reduce caspase-3 activity, and attenuate the decrease of mitochondrial membrane potential (MMP) in PC12 cells treated with H<inf>2</inf>O<inf>2</inf>. Meanwhile, DMC increased the catalytic activity of superoxide dismutase (SOD) and the cellular amount of glutathione (GSH), decreased the cellular amount of malondialdehyde (MDA), and decreased the production of lipid peroxidation in PC12 cells treated with H<inf>2</inf>O<inf>2</inf>. © 2010 American Chemical Society.",NA,NA,2011,"http://dx.doi.org/10.1021/jf104408d",NA,NA,"0115b934-1a4b-4992-988b-45b11477f3a3",1,1
"8","Antioxidant activity of an exopolysaccharide from cultivated Cordyceps sisnensis fungus. [Chinese]",NA,NA,NA,NA,NA,"Antioxidant activity of an exopolysaccharide from cultivated Cordyceps sisnensis fungus. [Chinese]","Journal of China Pharmaceutical University","Aim: To preliminarily investigate the antioxidant activity of the acidic exopolysaccharide( EPS-A) from cultivated Cordyceps sisnensis in vitro and in vivo. Methods: PC12 cells were injured by H<inf>2</inf>O<inf>2</inf> after the cells were treated with different doses of EPS-A for 6 h, and then the levels of malondialdelyde (MDA) and superoxide dismutase (SOD) in PC12 cells were determined. H22 cells were inoculated into the right oxter of each mouse after ICR mice were treated with EPS-A for 7 days, and tumor-bearing mice were treated with EPS-A for 7 days. MDA level and SOD activity in liver, brain and serum were assayed, and tumor weight of each mouse was measured as well. Results: EPS-A significantly decreased the production of MDA and increased SOD activity in H<inf>2</inf>O<inf>2</inf>-injured PC12 cells. Moreover, EPS-A inhibited H22 tumor growth in mice, in which the level of MDA in liver and brain was reduced, and SOD activity in liver, brain and serum was enhanced. Conclusion: EPS-A exhibited antioxidant activity in cell cultures and mice.",NA,NA,2009,"",NA,NA,"015dc95b-1dc2-4dba-ba2b-9e656c4bd295",1,1
"9","Protective effect of autophagy in neural ischemia and hypoxia: Negative regulation of the Wnt/beta-catenin pathway",NA,NA,NA,NA,NA,"Protective effect of autophagy in neural ischemia and hypoxia: Negative regulation of the Wnt/beta-catenin pathway","","Autophagy is a highly conserved process of self-digestion to promote cell survival in response to nutrient starvation and other metabolic stresses. However, whether ischemic-hypoxic (IH) injury-induced autophagy acts as a neuroprotective mechanism or leads to neuroinjury is a subject of debate. It is known that autophagy is regulated by signaling pathways, including the mammalian target of rapamycin pathway. However, in neural IH injury, whether other signaling pathways are involved in the regulation of autophagy remains to be fully elucidated. In the present study, using the autophagy agonist (rampycin), autophagy antagonist [3-methyl adenine (3-MA)] and lysosome antagonist (MHY1485), autophagy was intervened with at oxygen-glucose deprivation (OGD) 6 h, in order to elucidate the regulatory mechanisms of autophagy. Using immunocytochemistry and western blot analysis, the expression levels of stress-related proteins, such as hypoxia-inducible factor-1alpha (HIF-1alpha) (a key regulator in hypoxia) and cyclooxygenase 2 (COX2; inflammatory indicator), were analyzed. In addition, the upstream proteins (Wnt1 and Wnt3a), downstream proteins (Dvl2, beta-catenin) and target proteins (C-myc and cyclin D) in the Wnt/beta-catenin signaling pathway were examined by immunocytochemistry and western blot analysis. The present study revealed that autophagy was activated with the upregulation of autophagic flux in IH injury; it was demonstrated that autophagy had a protective role in IH injury. The Wnt/beta-catenin pathway was involved in IH injury regulation, and the upstream proteins in the Wnt/beta-catenin signaling pathway were upregulated, whereas downstream proteins were downregulated by the activity of autophagy accordingly.",NA,NA,2017,"10.3892/ijmm.2017.3158",NA,NA,"016a2cd2-4bb5-4666-9264-1b582a961618",1,1
"10","Pituitary adenylate cyclase-activating polypeptide and vasoactive intestinal peptide attenuate glutamate-induced nNOS activation and cytotoxicity",NA,NA,NA,NA,NA,"Pituitary adenylate cyclase-activating polypeptide and vasoactive intestinal peptide attenuate glutamate-induced nNOS activation and cytotoxicity","Regulatory Peptides","Both vasoactive intestinal peptide (VIP) and pituitary adenylate cyclase-activating polypeptide (PACAP) act as neurotransmitters in the central and peripheral nervous systems. Attention has been focused on these neuropeptides because among their numerous biological activities, they have been confirmed to show neuroprotective effects against ischemia and glutamate-induced cytotoxicity. It is well established that glutamate has excitatory effects on neuronal cells, and that excessive glutamate shows potent neurotoxicity, especially in neuronal nitric oxide synthase-containing neurons. Glutamate stimulates the production of nitric oxide (NO) in neurons, and the NO generated is tightly associated with the delayed death of neurons. We examined the effects of these neuropeptides on the glutamate-induced neural actions using PC12 cells, and we confirmed the important activities of PACAP/VIP on the production of NO as well as the delayed cell death stimulated by glutamate. © 2002 Elsevier Science B.V. All rights reserved.",NA,NA,2002,"http://dx.doi.org/10.1016/S0167-0115%2802%2900065-4",NA,NA,"019c4c94-614d-407b-8d91-3b93aa8afb71",1,1
